model,dataset,rel_depth,halluc_auroc,size_B
Llama-3.2-3B,triviaqa,0.7000000000000001,0.8134328358208955,3.2
Llama-3.2-3B,triviaqa,0.75,0.8233830845771144,3.2
Llama-3.2-3B,triviaqa,0.8,0.8079149706015377,3.2
Llama-3.2-3B,triviaqa,0.8500000000000001,0.7884441429217548,3.2
Llama-3.2-3B,triviaqa,0.9,0.7757123473541384,3.2
Llama-3.2-3B,triviaqa,0.9500000000000001,0.7783129805517865,3.2
Llama-3.2-3B,triviaqa,1.0,0.7640208050655811,3.2
Qwen2.5-7B,nq_open,0.0,0.5,7.0
Qwen2.5-7B,nq_open,0.05,0.5762973352033661,7.0
Qwen2.5-7B,nq_open,0.1,0.598223468910706,7.0
Qwen2.5-7B,nq_open,0.15000000000000002,0.6192145862552595,7.0
Qwen2.5-7B,nq_open,0.2,0.5600981767180927,7.0
Qwen2.5-7B,nq_open,0.25,0.5711781206171108,7.0
Qwen2.5-7B,nq_open,0.30000000000000004,0.6157082748948107,7.0
Qwen2.5-7B,nq_open,0.35000000000000003,0.649929873772791,7.0
Qwen2.5-7B,nq_open,0.4,0.5928471248246844,7.0
Qwen2.5-7B,nq_open,0.45,0.6710144927536232,7.0
Qwen2.5-7B,nq_open,0.5,0.6763090229079008,7.0
Qwen2.5-7B,nq_open,0.55,0.6797101449275365,7.0
Qwen2.5-7B,nq_open,0.6000000000000001,0.6713884992987377,7.0
Qwen2.5-7B,nq_open,0.65,0.6509116409537168,7.0
Qwen2.5-7B,nq_open,0.7000000000000001,0.6439223936418889,7.0
Qwen2.5-7B,nq_open,0.75,0.6991584852734922,7.0
Qwen2.5-7B,nq_open,0.8,0.6794530154277699,7.0
Qwen2.5-7B,nq_open,0.8500000000000001,0.7076905095839179,7.0
Qwen2.5-7B,nq_open,0.9,0.6956989247311828,7.0
Qwen2.5-7B,nq_open,0.9500000000000001,0.6878447872837774,7.0
Qwen2.5-7B,nq_open,1.0,0.7068723702664796,7.0
Qwen2.5-7B,squad,0.0,0.5,7.0
Qwen2.5-7B,squad,0.05,0.43441734417344174,7.0
Qwen2.5-7B,squad,0.1,0.4976626016260163,7.0
Qwen2.5-7B,squad,0.15000000000000002,0.5272018970189701,7.0
Qwen2.5-7B,squad,0.2,0.5929200542005421,7.0
Qwen2.5-7B,squad,0.25,0.6405826558265583,7.0
Qwen2.5-7B,squad,0.30000000000000004,0.5957317073170731,7.0
Qwen2.5-7B,squad,0.35000000000000003,0.5901084010840109,7.0
Qwen2.5-7B,squad,0.4,0.6204945799457995,7.0
Qwen2.5-7B,squad,0.45,0.6424119241192412,7.0
Qwen2.5-7B,squad,0.5,0.6800474254742548,7.0
Qwen2.5-7B,squad,0.55,0.6898035230352304,7.0
Qwen2.5-7B,squad,0.6000000000000001,0.7016260162601626,7.0
Qwen2.5-7B,squad,0.65,0.7290650406504064,7.0
Qwen2.5-7B,squad,0.7000000000000001,0.7546409214092141,7.0
Qwen2.5-7B,squad,0.75,0.7388211382113822,7.0
Qwen2.5-7B,squad,0.8,0.717411924119241,7.0
Qwen2.5-7B,squad,0.8500000000000001,0.616463414634146,7.0
Qwen2.5-7B,squad,0.9,0.6178523035230353,7.0
Qwen2.5-7B,squad,0.9500000000000001,0.633909214092141,7.0
Qwen2.5-7B,squad,1.0,0.5967140921409214,7.0
Qwen2.5-7B,triviaqa,0.0,0.5,7.0
Qwen2.5-7B,triviaqa,0.05,0.6090946672178585,7.0
Qwen2.5-7B,triviaqa,0.1,0.6519429516329063,7.0
Qwen2.5-7B,triviaqa,0.15000000000000002,0.6823480777180654,7.0
Qwen2.5-7B,triviaqa,0.2,0.6552294336502688,7.0
Qwen2.5-7B,triviaqa,0.25,0.6470649028524184,7.0
Qwen2.5-7B,triviaqa,0.30000000000000004,0.6738735014468789,7.0
Qwen2.5-7B,triviaqa,0.35000000000000003,0.7191608102521704,7.0
Qwen2.5-7B,triviaqa,0.4,0.720979743695742,7.0
Qwen2.5-7B,triviaqa,0.45,0.7181066556428276,7.0
Qwen2.5-7B,triviaqa,0.5,0.7423522116577097,7.0
Qwen2.5-7B,triviaqa,0.55,0.714200082678793,7.0
Qwen2.5-7B,triviaqa,0.6000000000000001,0.7499999999999999,7.0
Qwen2.5-7B,triviaqa,0.65,0.7980777180653162,7.0
Qwen2.5-7B,triviaqa,0.7000000000000001,0.7866060355518809,7.0
Qwen2.5-7B,triviaqa,0.75,0.7832782141380736,7.0
Qwen2.5-7B,triviaqa,0.8,0.798780487804878,7.0
Qwen2.5-7B,triviaqa,0.8500000000000001,0.7785035138486978,7.0
Qwen2.5-7B,triviaqa,0.9,0.7684993799090533,7.0
Qwen2.5-7B,triviaqa,0.9500000000000001,0.770773046713518,7.0
Qwen2.5-7B,triviaqa,1.0,0.7680859859446053,7.0
